                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.93075,                0.42367,                0.87335,                0.76531,                0.76233,                0.78703,                0.56211,                 1.1282,                0.48816,                0.90348,               0.003565,               0.003565,               0.003565
                     67,                0.92626,                0.42015,                0.87173,                0.75924,                0.76658,                0.78681,                0.56221,                 1.1284,                0.48877,                0.90358,               0.003466,               0.003466,               0.003466
                     68,                0.91949,                0.41765,                0.87069,                0.75794,                0.76758,                0.78596,                0.56167,                  1.128,                0.48916,                0.90365,               0.003367,               0.003367,               0.003367
                     69,                0.91761,                0.41493,                 0.8696,                0.78976,                0.73907,                0.78511,                0.56127,                 1.1283,                0.48934,                0.90372,               0.003268,               0.003268,               0.003268
                     70,                0.91343,                0.41258,                  0.869,                 0.7877,                0.74091,                0.78478,                0.56203,                 1.1298,                0.48971,                0.90394,               0.003169,               0.003169,               0.003169
                     71,                0.90685,                0.41053,                0.86812,                0.75778,                0.75836,                0.78355,                0.56086,                 1.1303,                0.49049,                0.90412,                0.00307,                0.00307,                0.00307
                     72,                0.90652,                0.40979,                0.86653,                0.77606,                0.74435,                0.78285,                0.55985,                 1.1314,                0.49096,                0.90426,               0.002971,               0.002971,               0.002971
                     73,                0.90208,                0.40595,                0.86499,                0.77788,                0.74108,                0.78244,                0.56069,                 1.1323,                0.49151,                0.90435,               0.002872,               0.002872,               0.002872
                     74,                0.89785,                0.40422,                0.86441,                0.78229,                0.74295,                0.78209,                0.55947,                 1.1336,                0.49225,                0.90463,               0.002773,               0.002773,               0.002773
                     75,                0.89101,                0.40167,                0.86472,                0.78214,                0.74157,                0.78167,                0.55971,                 1.1341,                0.49274,                0.90481,               0.002674,               0.002674,               0.002674
                     76,                0.88856,                0.39884,                0.86351,                0.78412,                 0.7416,                0.78148,                0.55915,                 1.1345,                0.49292,                0.90489,               0.002575,               0.002575,               0.002575
                     77,                0.88044,                0.39508,                0.86181,                0.78063,                0.74299,                0.78105,                0.55941,                 1.1344,                0.49355,                 0.9049,               0.002476,               0.002476,               0.002476
                     78,                0.87824,                0.39445,                0.86147,                 0.7744,                0.74263,                0.78057,                 0.5592,                  1.135,                0.49427,                0.90512,               0.002377,               0.002377,               0.002377
                     79,                0.87455,                0.39365,                0.86076,                0.77182,                0.74323,                0.78005,                0.55805,                 1.1351,                 0.4947,                0.90521,               0.002278,               0.002278,               0.002278
                     80,                0.86584,                0.38669,                0.85822,                0.77529,                0.74043,                0.77976,                0.55664,                 1.1355,                0.49497,                0.90534,               0.002179,               0.002179,               0.002179
                     81,                0.86314,                0.38787,                0.85897,                0.78247,                0.73672,                0.77953,                0.55662,                 1.1358,                0.49514,                0.90556,                0.00208,                0.00208,                0.00208
                     82,                0.85915,                 0.3838,                0.85737,                0.79503,                0.72759,                0.77885,                0.55605,                 1.1359,                0.49582,                0.90583,               0.001981,               0.001981,               0.001981
                     83,                0.85448,                0.38254,                0.85673,                 0.7969,                0.72911,                0.77954,                0.55648,                 1.1365,                0.49653,                0.90608,               0.001882,               0.001882,               0.001882
                     84,                0.84764,                0.37651,                0.85489,                0.77765,                0.74045,                 0.7793,                 0.5554,                 1.1368,                0.49678,                0.90636,               0.001783,               0.001783,               0.001783
                     85,                0.84653,                0.37646,                0.85494,                 0.7774,                0.74069,                0.77894,                 0.5548,                 1.1376,                 0.4973,                0.90675,               0.001684,               0.001684,               0.001684
                     86,                0.83976,                0.37371,                0.85292,                0.78732,                0.73602,                0.77833,                0.55429,                 1.1383,                0.49799,                0.90713,               0.001585,               0.001585,               0.001585
                     87,                0.83095,                0.36963,                0.85293,                0.79308,                0.73282,                0.77774,                0.55445,                 1.1388,                0.49826,                0.90731,               0.001486,               0.001486,               0.001486
                     88,                0.82847,                 0.3693,                 0.8514,                0.79605,                0.73482,                0.77729,                0.55396,                 1.1392,                0.49827,                0.90768,               0.001387,               0.001387,               0.001387
                     89,                0.82384,                0.36589,                0.84991,                0.79448,                0.73626,                0.77681,                0.55408,                 1.1398,                0.49868,                 0.9081,               0.001288,               0.001288,               0.001288
                     90,                0.81735,                0.36262,                0.85059,                0.79329,                0.73483,                0.77658,                 0.5543,                   1.14,                0.49934,                0.90849,               0.001189,               0.001189,               0.001189
                     91,                0.81847,                0.35169,                0.85403,                0.79133,                0.73613,                0.77627,                0.55322,                 1.1403,                0.49995,                0.90877,                0.00109,                0.00109,                0.00109
                     92,                0.80661,                0.34487,                0.85169,                0.79042,                0.73628,                0.77592,                0.55181,                 1.1412,                0.50079,                0.90915,               0.000991,               0.000991,               0.000991
                     93,                0.79975,                0.34092,                0.84989,                0.78539,                0.73734,                0.77464,                0.55275,                 1.1421,                0.50154,                0.90942,               0.000892,               0.000892,               0.000892
                     94,                0.79109,                0.33775,                 0.8482,                0.78332,                0.73844,                0.77457,                0.55178,                 1.1428,                 0.5022,                0.90974,               0.000793,               0.000793,               0.000793
                     95,                0.78695,                0.33724,                0.84638,                0.77409,                0.74248,                0.77379,                0.55101,                 1.1436,                0.50291,                0.91018,               0.000694,               0.000694,               0.000694
                     96,                0.78053,                0.33401,                0.84628,                0.76977,                0.74331,                0.77334,                0.55095,                 1.1447,                0.50382,                0.91059,               0.000595,               0.000595,               0.000595
                     97,                0.77377,                0.32925,                0.84419,                0.76799,                0.74402,                0.77347,                0.55112,                 1.1454,                0.50433,                0.91084,               0.000496,               0.000496,               0.000496
                     98,                0.76665,                0.32652,                0.84303,                0.77344,                0.73296,                0.77223,                0.54957,                 1.1461,                0.50536,                0.91116,               0.000397,               0.000397,               0.000397
                     99,                0.76437,                0.32585,                 0.8434,                0.78573,                0.72897,                0.77143,                0.55017,                 1.1469,                0.50624,                0.91155,               0.000298,               0.000298,               0.000298
                    100,                 0.7583,                0.32281,                0.84167,                0.78631,                0.72823,                0.77038,                0.54914,                 1.1478,                0.50687,                0.91196,               0.000199,               0.000199,               0.000199
